date,date,unit_sales,dayofweek,is_weekend,year_month
2013-03-10,2013-03-10,591.0,6,True,2013-03
2013-03-11,2013-03-11,296.0,0,False,2013-03
2013-03-12,2013-03-12,213.0,1,False,2013-03
2013-03-13,2013-03-13,620.0,2,False,2013-03
2013-03-14,2013-03-14,388.0,3,False,2013-03
2013-03-15,2013-03-15,240.0,4,False,2013-03
2013-03-16,2013-03-16,779.0,5,True,2013-03
2013-03-17,2013-03-17,695.0,6,True,2013-03
2013-03-18,2013-03-18,465.0,0,False,2013-03
2013-03-19,2013-03-19,418.0,1,False,2013-03
2013-03-20,2013-03-20,522.0,2,False,2013-03
2013-03-21,2013-03-21,241.0,3,False,2013-03
2013-03-22,2013-03-22,353.0,4,False,2013-03
2013-03-23,2013-03-23,544.0,5,True,2013-03
2013-03-24,2013-03-24,529.0,6,True,2013-03
2013-03-25,2013-03-25,413.0,0,False,2013-03
2013-03-26,2013-03-26,300.0,1,False,2013-03
2013-03-27,2013-03-27,353.0,2,False,2013-03
2013-03-28,2013-03-28,594.0,3,False,2013-03
2013-03-29,2013-03-29,575.0,4,False,2013-03
2013-03-30,2013-03-30,577.0,5,True,2013-03
2013-03-31,2013-03-31,643.0,6,True,2013-03
2013-04-01,2013-04-01,431.0,0,False,2013-04
2013-04-02,2013-04-02,527.0,1,False,2013-04
2013-04-03,2013-04-03,463.0,2,False,2013-04
2013-04-04,2013-04-04,305.0,3,False,2013-04
2013-04-05,2013-04-05,415.0,4,False,2013-04
2013-04-06,2013-04-06,972.0,5,True,2013-04
2013-04-07,2013-04-07,936.0,6,True,2013-04
2013-04-08,2013-04-08,369.0,0,False,2013-04
2013-04-09,2013-04-09,458.0,1,False,2013-04
2013-04-10,2013-04-10,386.0,2,False,2013-04
2013-04-11,2013-04-11,235.0,3,False,2013-04
2013-04-12,2013-04-12,358.0,4,False,2013-04
2013-04-13,2013-04-13,789.0,5,True,2013-04
2013-04-14,2013-04-14,506.0,6,True,2013-04
2013-04-15,2013-04-15,413.0,0,False,2013-04
2013-04-16,2013-04-16,372.0,1,False,2013-04
2013-04-17,2013-04-17,400.0,2,False,2013-04
2013-04-18,2013-04-18,283.0,3,False,2013-04
2013-04-19,2013-04-19,376.0,4,False,2013-04
2013-04-20,2013-04-20,647.0,5,True,2013-04
2013-04-21,2013-04-21,683.0,6,True,2013-04
2013-04-22,2013-04-22,408.0,0,False,2013-04
2013-04-23,2013-04-23,400.0,1,False,2013-04
2013-04-24,2013-04-24,493.0,2,False,2013-04
2013-04-25,2013-04-25,219.0,3,False,2013-04
2013-04-26,2013-04-26,491.0,4,False,2013-04
2013-04-27,2013-04-27,755.0,5,True,2013-04
2013-04-28,2013-04-28,719.0,6,True,2013-04
2013-04-29,2013-04-29,411.0,0,False,2013-04
2013-04-30,2013-04-30,369.0,1,False,2013-04
2013-05-01,2013-05-01,705.0,2,False,2013-05
2013-05-02,2013-05-02,327.0,3,False,2013-05
2013-05-03,2013-05-03,350.0,4,False,2013-05
2013-05-04,2013-05-04,774.0,5,True,2013-05
2013-05-05,2013-05-05,715.0,6,True,2013-05
2013-05-06,2013-05-06,416.0,0,False,2013-05
2013-05-07,2013-05-07,351.0,1,False,2013-05
2013-05-08,2013-05-08,418.0,2,False,2013-05
2013-05-09,2013-05-09,323.0,3,False,2013-05
2013-05-10,2013-05-10,318.0,4,False,2013-05
2013-05-11,2013-05-11,666.0,5,True,2013-05
2013-05-12,2013-05-12,548.0,6,True,2013-05
2013-05-13,2013-05-13,331.0,0,False,2013-05
2013-05-14,2013-05-14,409.0,1,False,2013-05
2013-05-15,2013-05-15,471.0,2,False,2013-05
2013-05-16,2013-05-16,252.0,3,False,2013-05
2013-05-17,2013-05-17,423.0,4,False,2013-05
2013-05-18,2013-05-18,600.0,5,True,2013-05
2013-05-19,2013-05-19,758.0,6,True,2013-05
2013-05-20,2013-05-20,399.0,0,False,2013-05
2013-05-21,2013-05-21,444.0,1,False,2013-05
2013-05-22,2013-05-22,455.0,2,False,2013-05
2013-05-23,2013-05-23,372.0,3,False,2013-05
2013-05-24,2013-05-24,532.0,4,False,2013-05
2013-05-25,2013-05-25,392.0,5,True,2013-05
2013-05-26,2013-05-26,532.0,6,True,2013-05
2013-05-27,2013-05-27,291.0,0,False,2013-05
2013-05-28,2013-05-28,293.0,1,False,2013-05
2013-05-29,2013-05-29,420.0,2,False,2013-05
2013-05-30,2013-05-30,271.0,3,False,2013-05
2013-05-31,2013-05-31,488.0,4,False,2013-05
2013-06-01,2013-06-01,777.0,5,True,2013-06
2013-06-02,2013-06-02,656.0,6,True,2013-06
2013-06-03,2013-06-03,462.0,0,False,2013-06
2013-06-04,2013-06-04,370.0,1,False,2013-06
2013-06-05,2013-06-05,459.0,2,False,2013-06
2013-06-06,2013-06-06,280.0,3,False,2013-06
2013-06-07,2013-06-07,466.0,4,False,2013-06
2013-06-08,2013-06-08,904.0,5,True,2013-06
2013-06-09,2013-06-09,794.0,6,True,2013-06
2013-06-10,2013-06-10,511.0,0,False,2013-06
2013-06-11,2013-06-11,305.0,1,False,2013-06
2013-06-12,2013-06-12,475.0,2,False,2013-06
2013-06-13,2013-06-13,406.0,3,False,2013-06
2013-06-14,2013-06-14,470.0,4,False,2013-06
2013-06-15,2013-06-15,747.0,5,True,2013-06
2013-06-16,2013-06-16,481.0,6,True,2013-06
2013-06-17,2013-06-17,424.0,0,False,2013-06
2013-06-18,2013-06-18,560.0,1,False,2013-06
2013-06-19,2013-06-19,361.0,2,False,2013-06
2013-06-20,2013-06-20,335.0,3,False,2013-06
2013-06-21,2013-06-21,473.0,4,False,2013-06
2013-06-22,2013-06-22,502.0,5,True,2013-06
2013-06-23,2013-06-23,770.0,6,True,2013-06
2013-06-24,2013-06-24,484.0,0,False,2013-06
2013-06-25,2013-06-25,345.0,1,False,2013-06
2013-06-26,2013-06-26,555.0,2,False,2013-06
2013-06-27,2013-06-27,352.0,3,False,2013-06
2013-06-28,2013-06-28,374.0,4,False,2013-06
2013-06-29,2013-06-29,489.0,5,True,2013-06
2013-06-30,2013-06-30,669.0,6,True,2013-06
2013-07-01,2013-07-01,422.0,0,False,2013-07
2013-07-02,2013-07-02,421.0,1,False,2013-07
2013-07-03,2013-07-03,510.0,2,False,2013-07
2013-07-04,2013-07-04,463.0,3,False,2013-07
2013-07-05,2013-07-05,439.0,4,False,2013-07
2013-07-06,2013-07-06,590.0,5,True,2013-07
2013-07-07,2013-07-07,665.0,6,True,2013-07
2013-07-08,2013-07-08,265.0,0,False,2013-07
2013-07-09,2013-07-09,393.0,1,False,2013-07
2013-07-10,2013-07-10,550.0,2,False,2013-07
2013-07-11,2013-07-11,262.0,3,False,2013-07
2013-07-12,2013-07-12,397.0,4,False,2013-07
2013-07-13,2013-07-13,466.0,5,True,2013-07
2013-07-14,2013-07-14,449.0,6,True,2013-07
2013-07-15,2013-07-15,484.0,0,False,2013-07
2013-07-16,2013-07-16,443.0,1,False,2013-07
2013-07-17,2013-07-17,469.0,2,False,2013-07
2013-07-18,2013-07-18,292.0,3,False,2013-07
2013-07-19,2013-07-19,278.0,4,False,2013-07
2013-07-20,2013-07-20,605.0,5,True,2013-07
2013-07-21,2013-07-21,817.0,6,True,2013-07
2013-07-22,2013-07-22,295.0,0,False,2013-07
2013-07-23,2013-07-23,470.0,1,False,2013-07
2013-07-24,2013-07-24,431.0,2,False,2013-07
2013-07-25,2013-07-25,282.0,3,False,2013-07
2013-07-26,2013-07-26,596.0,4,False,2013-07
2013-07-27,2013-07-27,548.0,5,True,2013-07
2013-07-28,2013-07-28,700.0,6,True,2013-07
2013-07-29,2013-07-29,414.0,0,False,2013-07
2013-07-30,2013-07-30,353.0,1,False,2013-07
2013-07-31,2013-07-31,570.0,2,False,2013-07
2013-08-01,2013-08-01,462.0,3,False,2013-08
2013-08-02,2013-08-02,464.0,4,False,2013-08
2013-08-03,2013-08-03,657.0,5,True,2013-08
2013-08-04,2013-08-04,681.0,6,True,2013-08
2013-08-05,2013-08-05,461.0,0,False,2013-08
2013-08-06,2013-08-06,328.0,1,False,2013-08
2013-08-07,2013-08-07,403.0,2,False,2013-08
2013-08-08,2013-08-08,360.0,3,False,2013-08
2013-08-09,2013-08-09,347.0,4,False,2013-08
2013-08-10,2013-08-10,570.0,5,True,2013-08
2013-08-11,2013-08-11,662.0,6,True,2013-08
2013-08-12,2013-08-12,423.0,0,False,2013-08
2013-08-13,2013-08-13,405.0,1,False,2013-08
2013-08-14,2013-08-14,454.0,2,False,2013-08
2013-08-15,2013-08-15,339.0,3,False,2013-08
2013-08-16,2013-08-16,469.0,4,False,2013-08
2013-08-17,2013-08-17,495.0,5,True,2013-08
2013-08-18,2013-08-18,681.0,6,True,2013-08
2013-08-19,2013-08-19,376.0,0,False,2013-08
2013-08-20,2013-08-20,338.0,1,False,2013-08
2013-08-21,2013-08-21,330.0,2,False,2013-08
2013-08-22,2013-08-22,358.0,3,False,2013-08
2013-08-23,2013-08-23,347.0,4,False,2013-08
2013-08-24,2013-08-24,644.0,5,True,2013-08
2013-08-25,2013-08-25,813.0,6,True,2013-08
2013-08-26,2013-08-26,636.0,0,False,2013-08
2013-08-27,2013-08-27,386.0,1,False,2013-08
2013-08-28,2013-08-28,613.0,2,False,2013-08
2013-08-29,2013-08-29,432.0,3,False,2013-08
2013-08-30,2013-08-30,410.0,4,False,2013-08
2013-08-31,2013-08-31,493.0,5,True,2013-08
2013-09-01,2013-09-01,711.0,6,True,2013-09
2013-09-02,2013-09-02,583.0,0,False,2013-09
2013-09-03,2013-09-03,345.0,1,False,2013-09
2013-09-04,2013-09-04,670.0,2,False,2013-09
2013-09-05,2013-09-05,331.0,3,False,2013-09
2013-09-06,2013-09-06,415.0,4,False,2013-09
2013-09-07,2013-09-07,791.0,5,True,2013-09
2013-09-08,2013-09-08,786.0,6,True,2013-09
2013-09-09,2013-09-09,541.0,0,False,2013-09
2013-09-10,2013-09-10,342.0,1,False,2013-09
2013-09-11,2013-09-11,435.0,2,False,2013-09
2013-09-12,2013-09-12,621.0,3,False,2013-09
2013-09-13,2013-09-13,323.0,4,False,2013-09
2013-09-14,2013-09-14,632.0,5,True,2013-09
2013-09-15,2013-09-15,710.0,6,True,2013-09
2013-09-16,2013-09-16,524.0,0,False,2013-09
2013-09-17,2013-09-17,314.0,1,False,2013-09
2013-09-18,2013-09-18,414.0,2,False,2013-09
2013-09-19,2013-09-19,372.0,3,False,2013-09
2013-09-20,2013-09-20,346.0,4,False,2013-09
2013-09-21,2013-09-21,726.0,5,True,2013-09
2013-09-22,2013-09-22,866.0,6,True,2013-09
2013-09-23,2013-09-23,516.0,0,False,2013-09
2013-09-24,2013-09-24,306.0,1,False,2013-09
2013-09-25,2013-09-25,486.0,2,False,2013-09
2013-09-26,2013-09-26,428.0,3,False,2013-09
2013-09-27,2013-09-27,370.0,4,False,2013-09
2013-09-28,2013-09-28,609.0,5,True,2013-09
2013-09-29,2013-09-29,764.0,6,True,2013-09
2013-09-30,2013-09-30,416.0,0,False,2013-09
2013-10-01,2013-10-01,336.0,1,False,2013-10
2013-10-02,2013-10-02,407.0,2,False,2013-10
2013-10-03,2013-10-03,303.0,3,False,2013-10
2013-10-04,2013-10-04,550.0,4,False,2013-10
2013-10-05,2013-10-05,678.0,5,True,2013-10
2013-10-06,2013-10-06,719.0,6,True,2013-10
2013-10-07,2013-10-07,515.0,0,False,2013-10
2013-10-08,2013-10-08,346.0,1,False,2013-10
2013-10-09,2013-10-09,601.0,2,False,2013-10
2013-10-10,2013-10-10,277.0,3,False,2013-10
2013-10-11,2013-10-11,221.0,4,False,2013-10
2013-10-12,2013-10-12,558.0,5,True,2013-10
2013-10-13,2013-10-13,485.0,6,True,2013-10
2013-10-14,2013-10-14,276.0,0,False,2013-10
2013-10-15,2013-10-15,345.0,1,False,2013-10
2013-10-16,2013-10-16,396.0,2,False,2013-10
2013-10-17,2013-10-17,329.0,3,False,2013-10
2013-10-18,2013-10-18,427.0,4,False,2013-10
2013-10-19,2013-10-19,737.0,5,True,2013-10
2013-10-20,2013-10-20,904.0,6,True,2013-10
2013-10-21,2013-10-21,394.0,0,False,2013-10
2013-10-22,2013-10-22,351.0,1,False,2013-10
2013-10-23,2013-10-23,310.0,2,False,2013-10
2013-10-24,2013-10-24,384.0,3,False,2013-10
2013-10-25,2013-10-25,297.0,4,False,2013-10
2013-10-26,2013-10-26,531.0,5,True,2013-10
2013-10-27,2013-10-27,801.0,6,True,2013-10
2013-10-28,2013-10-28,297.0,0,False,2013-10
2013-10-29,2013-10-29,352.0,1,False,2013-10
2013-10-30,2013-10-30,497.0,2,False,2013-10
2013-10-31,2013-10-31,224.0,3,False,2013-10
2013-11-01,2013-11-01,375.0,4,False,2013-11
2013-11-02,2013-11-02,549.0,5,True,2013-11
2013-11-03,2013-11-03,860.0,6,True,2013-11
2013-11-04,2013-11-04,406.0,0,False,2013-11
2013-11-05,2013-11-05,475.0,1,False,2013-11
2013-11-06,2013-11-06,295.0,2,False,2013-11
2013-11-07,2013-11-07,389.0,3,False,2013-11
2013-11-08,2013-11-08,379.0,4,False,2013-11
2013-11-09,2013-11-09,644.0,5,True,2013-11
2013-11-10,2013-11-10,695.0,6,True,2013-11
2013-11-11,2013-11-11,612.0,0,False,2013-11
2013-11-12,2013-11-12,314.0,1,False,2013-11
2013-11-13,2013-11-13,343.0,2,False,2013-11
2013-11-14,2013-11-14,295.0,3,False,2013-11
2013-11-15,2013-11-15,400.0,4,False,2013-11
2013-11-16,2013-11-16,683.0,5,True,2013-11
2013-11-17,2013-11-17,921.0,6,True,2013-11
2013-11-18,2013-11-18,447.0,0,False,2013-11
2013-11-19,2013-11-19,401.0,1,False,2013-11
2013-11-20,2013-11-20,481.0,2,False,2013-11
2013-11-21,2013-11-21,199.0,3,False,2013-11
2013-11-22,2013-11-22,419.0,4,False,2013-11
2013-11-23,2013-11-23,519.0,5,True,2013-11
2013-11-24,2013-11-24,702.0,6,True,2013-11
2013-11-25,2013-11-25,282.0,0,False,2013-11
2013-11-26,2013-11-26,274.0,1,False,2013-11
2013-11-27,2013-11-27,474.0,2,False,2013-11
2013-11-28,2013-11-28,258.0,3,False,2013-11
2013-11-29,2013-11-29,363.0,4,False,2013-11
2013-11-30,2013-11-30,726.0,5,True,2013-11
2013-12-01,2013-12-01,736.0,6,True,2013-12
2013-12-02,2013-12-02,421.0,0,False,2013-12
2013-12-03,2013-12-03,493.0,1,False,2013-12
2013-12-04,2013-12-04,454.0,2,False,2013-12
2013-12-05,2013-12-05,265.0,3,False,2013-12
2013-12-06,2013-12-06,388.0,4,False,2013-12
2013-12-07,2013-12-07,504.0,5,True,2013-12
2013-12-08,2013-12-08,477.0,6,True,2013-12
2013-12-09,2013-12-09,378.0,0,False,2013-12
2013-12-10,2013-12-10,330.0,1,False,2013-12
2013-12-11,2013-12-11,508.0,2,False,2013-12
2013-12-12,2013-12-12,502.0,3,False,2013-12
2013-12-13,2013-12-13,367.0,4,False,2013-12
2013-12-14,2013-12-14,547.0,5,True,2013-12
2013-12-15,2013-12-15,621.0,6,True,2013-12
2013-12-16,2013-12-16,322.0,0,False,2013-12
2013-12-17,2013-12-17,496.0,1,False,2013-12
2013-12-18,2013-12-18,532.0,2,False,2013-12
2013-12-19,2013-12-19,455.0,3,False,2013-12
2013-12-20,2013-12-20,441.0,4,False,2013-12
2013-12-21,2013-12-21,630.0,5,True,2013-12
2013-12-22,2013-12-22,985.0,6,True,2013-12
2013-12-23,2013-12-23,523.0,0,False,2013-12
2013-12-24,2013-12-24,365.0,1,False,2013-12
2013-12-25,2013-12-25,418.0,2,False,2013-12
2013-12-26,2013-12-26,419.0,3,False,2013-12
2013-12-27,2013-12-27,499.0,4,False,2013-12
2013-12-28,2013-12-28,552.0,5,True,2013-12
2013-12-29,2013-12-29,595.0,6,True,2013-12
2013-12-30,2013-12-30,436.0,0,False,2013-12
2013-12-31,2013-12-31,589.0,1,False,2013-12
2014-01-01,2014-01-01,474.0,2,False,2014-01
2014-01-02,2014-01-02,767.0,3,False,2014-01
2014-01-03,2014-01-03,1203.0,4,False,2014-01
2014-01-04,2014-01-04,399.0,5,True,2014-01
2014-01-05,2014-01-05,498.0,6,True,2014-01
2014-01-06,2014-01-06,561.0,0,False,2014-01
2014-01-07,2014-01-07,239.0,1,False,2014-01
2014-01-08,2014-01-08,438.0,2,False,2014-01
2014-01-09,2014-01-09,619.0,3,False,2014-01
2014-01-10,2014-01-10,533.0,4,False,2014-01
2014-01-11,2014-01-11,443.0,5,True,2014-01
2014-01-12,2014-01-12,440.0,6,True,2014-01
2014-01-13,2014-01-13,360.0,0,False,2014-01
2014-01-14,2014-01-14,1168.0,1,False,2014-01
2014-01-15,2014-01-15,506.0,2,False,2014-01
2014-01-16,2014-01-16,720.0,3,False,2014-01
2014-01-17,2014-01-17,561.0,4,False,2014-01
2014-01-18,2014-01-18,391.0,5,True,2014-01
2014-01-19,2014-01-19,421.0,6,True,2014-01
2014-01-20,2014-01-20,519.0,0,False,2014-01
2014-01-21,2014-01-21,231.0,1,False,2014-01
2014-01-22,2014-01-22,263.0,2,False,2014-01
2014-01-23,2014-01-23,789.0,3,False,2014-01
2014-01-24,2014-01-24,698.0,4,False,2014-01
2014-01-25,2014-01-25,310.0,5,True,2014-01
2014-01-26,2014-01-26,332.0,6,True,2014-01
2014-01-27,2014-01-27,405.0,0,False,2014-01
2014-01-28,2014-01-28,323.0,1,False,2014-01
2014-01-29,2014-01-29,456.0,2,False,2014-01
2014-01-30,2014-01-30,732.0,3,False,2014-01
2014-01-31,2014-01-31,704.0,4,False,2014-01
2014-02-01,2014-02-01,395.0,5,True,2014-02
2014-02-02,2014-02-02,313.0,6,True,2014-02
2014-02-03,2014-02-03,463.0,0,False,2014-02
2014-02-04,2014-02-04,301.0,1,False,2014-02
2014-02-05,2014-02-05,289.0,2,False,2014-02
2014-02-06,2014-02-06,678.0,3,False,2014-02
2014-02-07,2014-02-07,731.0,4,False,2014-02
2014-02-08,2014-02-08,370.0,5,True,2014-02
2014-02-09,2014-02-09,440.0,6,True,2014-02
2014-02-10,2014-02-10,409.0,0,False,2014-02
2014-02-11,2014-02-11,310.0,1,False,2014-02
2014-02-12,2014-02-12,258.0,2,False,2014-02
2014-02-13,2014-02-13,650.0,3,False,2014-02
2014-02-14,2014-02-14,583.0,4,False,2014-02
2014-02-15,2014-02-15,506.0,5,True,2014-02
2014-02-16,2014-02-16,506.0,6,True,2014-02
2014-02-17,2014-02-17,392.0,0,False,2014-02
2014-02-18,2014-02-18,296.0,1,False,2014-02
2014-02-19,2014-02-19,393.0,2,False,2014-02
2014-02-20,2014-02-20,809.0,3,False,2014-02
2014-02-21,2014-02-21,714.0,4,False,2014-02
2014-02-22,2014-02-22,338.0,5,True,2014-02
2014-02-23,2014-02-23,453.0,6,True,2014-02
2014-02-24,2014-02-24,388.0,0,False,2014-02
2014-02-25,2014-02-25,587.0,1,False,2014-02
2014-02-26,2014-02-26,346.0,2,False,2014-02
2014-02-27,2014-02-27,714.0,3,False,2014-02
2014-02-28,2014-02-28,410.0,4,False,2014-02
2014-03-01,2014-03-01,408.0,5,True,2014-03
2014-03-02,2014-03-02,648.0,6,True,2014-03
2014-03-03,2014-03-03,367.0,0,False,2014-03
2014-03-04,2014-03-04,492.0,1,False,2014-03
2014-03-05,2014-03-05,410.0,2,False,2014-03
2014-03-06,2014-03-06,572.0,3,False,2014-03
2014-03-07,2014-03-07,731.0,4,False,2014-03
2014-03-08,2014-03-08,437.0,5,True,2014-03
2014-03-09,2014-03-09,509.0,6,True,2014-03
2014-03-10,2014-03-10,317.0,0,False,2014-03
2014-03-11,2014-03-11,254.0,1,False,2014-03
2014-03-12,2014-03-12,243.0,2,False,2014-03
2014-03-13,2014-03-13,535.0,3,False,2014-03
2014-03-14,2014-03-14,726.0,4,False,2014-03
2014-03-15,2014-03-15,285.0,5,True,2014-03
2014-03-16,2014-03-16,353.0,6,True,2014-03
2014-03-17,2014-03-17,346.0,0,False,2014-03
2014-03-18,2014-03-18,139.0,1,False,2014-03
2014-03-19,2014-03-19,456.0,2,False,2014-03
2014-03-20,2014-03-20,567.0,3,False,2014-03
2014-03-21,2014-03-21,603.0,4,False,2014-03
2014-03-22,2014-03-22,371.0,5,True,2014-03
2014-03-23,2014-03-23,392.0,6,True,2014-03
2014-03-24,2014-03-24,432.0,0,False,2014-03
2014-03-25,2014-03-25,328.0,1,False,2014-03
2014-03-26,2014-03-26,523.0,2,False,2014-03
2014-03-27,2014-03-27,647.0,3,False,2014-03
2014-03-28,2014-03-28,599.0,4,False,2014-03
2014-03-29,2014-03-29,415.0,5,True,2014-03
